filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1073.0,372.42,399606.66,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,983.0,373.43,367081.69,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1536.0,374.55,575308.8,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,1247.0,375.41,468136.27,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,502.0,376.5,189003.0,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,256.0,377.38,96609.28,D,000119312526338763
2026-08-06,2026-08-05,CLS,CELESTICA INC,MIONIS ROBERT,Chief Executive Officer,S,Open-market sell,40.0,378.5,15140.0,D,000119312526338763
2026-08-06,2026-08-05,CRWV,"CoreWeave, Inc.",Goldberg Chen,"EVP, Product & Engineering",S,Open-market sell,19208.0,92.29,1772706.32,D,000176962826000349
2026-08-06,2026-08-05,CRWD,"CrowdStrike Holdings, Inc.",Kurtz George,PRESIDENT AND CEO,S,Open-market sell,716.0,209.99,150352.84,D,000177856426000135
2026-08-06,2026-08-05,CRWD,"CrowdStrike Holdings, Inc.",Kurtz George,PRESIDENT AND CEO,S,Open-market sell,864.0,211.35,182606.4,D,000177856426000135
2026-08-06,2026-08-05,CRWD,"CrowdStrike Holdings, Inc.",Kurtz George,PRESIDENT AND CEO,S,Open-market sell,2401.0,212.3,509732.3,D,000177856426000135
