filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,1113.0,195.34,217413.42,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,1149.0,196.28,225525.72,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,469.0,197.35,92557.15,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,313.0,198.28,62061.64,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,365.0,199.44,72795.6,D,000093833326000009
2026-08-06,2026-08-04,FSLY,"Fastly, Inc.",Compton Charles Lacey III,CEO,S,Open-market sell,14868.0,25.0,371700.0,D,000151741326000224
2026-08-06,2026-08-04,XYZ,"Block, Inc.",Eisen Anthony Mathew,Director,S,Open-market sell,6000.0,82.31,493860.0,D,000162828026054510
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,3641.0,37.612,136945.29,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,77590.0,38.4029,2979681.01,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,1640.0,37.6836,61801.1,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,8960.0,38.1655,341962.88,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,2100.0,37.7579,79291.59,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,25546.0,38.417,981400.68,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,3605.0,37.6087,135579.36,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,77678.0,38.4033,2983091.54,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,1400.0,37.6504,52710.56,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,9200.0,38.1537,351014.04,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,2319.0,37.7792,87609.96,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,25352.0,38.4189,973995.95,D,000189510626000017
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,148564.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,279986.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,22856.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,691394.0,,,A,000213632726000005
